Respondent,RLH,price,Level 1,Level 2,Level 3,Level 1,Level 2,Level 3,Level 1,Level 2,Level 3
1,0.6053221047,-0.9426654885,3.8396674722,6.0618397087,0.0000000000,-0.9226590640,-1.8862002394,0.0000000000,-2.4896532005,-1.5974352663,0.0000000000
2,0.5338346695,-2.4816903202,1.0729656738,1.6497946183,0.0000000000,0.3184002226,0.3350581015,0.0000000000,-3.0018339503,-2.1541699353,0.0000000000
3,0.5513862447,-1.9839690645,-0.2335998508,1.7179515431,0.0000000000,-0.0108551421,2.1991672671,0.0000000000,-2.1723459347,-1.8868328587,0.0000000000
4,0.4600881282,-0.9162530091,-0.4009911097,-0.7619953716,0.0000000000,-1.2473790582,-0.2137567028,0.0000000000,-0.0786025087,3.3241589617,0.0000000000
5,0.3839951355,-1.0583279617,-0.0810776024,0.7365699898,0.0000000000,-0.8074661056,2.3125733700,0.0000000000,-2.0820313743,-0.2439787519,0.0000000000
6,0.4336346945,-1.9669123484,1.0998556350,2.1193672217,0.0000000000,-2.4120815839,-2.8549557221,0.0000000000,-1.2648864465,-0.3794403763,0.0000000000
7,0.5324769272,-1.2812698924,1.9400161926,3.9396905953,0.0000000000,-1.5557949793,-1.8602309461,0.0000000000,-4.0761513864,-3.0312724504,0.0000000000
8,0.7165442444,-1.3831294663,0.7570525403,3.0042259996,0.0000000000,-0.1028212306,-0.7464406777,0.0000000000,-4.7598727083,-4.8076379762,0.0000000000
9,0.5053403876,-1.7983799153,0.8921974872,1.9981283650,0.0000000000,-1.1275871805,-2.7871492790,0.0000000000,-3.0559752936,-0.5370721315,0.0000000000
10,0.5693922261,-1.4587591391,-0.7027326817,1.9596948886,0.0000000000,-1.1465783900,-0.5915694635,0.0000000000,-3.8227750035,-1.3850835105,0.0000000000
11,0.5726599555,-1.9786031463,1.8137994583,2.8798326376,0.0000000000,-1.7950602647,-2.5895293633,0.0000000000,-1.8237806488,0.8905004581,0.0000000000
12,0.3865542456,-0.8631496815,0.6760199571,2.0770407766,0.0000000000,-2.6175902238,-1.4153980106,0.0000000000,-2.9356363918,-2.3041844348,0.0000000000
13,0.4796558320,-1.6336741734,0.8330917564,2.5306064831,0.0000000000,-0.5190822635,-0.1788000966,0.0000000000,-2.4872559807,-3.4311776356,0.0000000000
14,0.6425358115,-0.6106092547,1.8879430211,4.5342226224,0.0000000000,-0.6537379527,-2.1411545189,0.0000000000,-3.0716754769,-0.4758679754,0.0000000000
15,0.5061864272,-1.4171665335,1.0173739246,1.3090427648,0.0000000000,-2.5671612533,-3.1862354943,0.0000000000,-2.5155809470,0.0621282754,0.0000000000
16,0.6715979305,-2.1282769582,0.5881561620,0.9525155878,0.0000000000,-1.1770330465,-2.8170444567,0.0000000000,-3.2085729713,-2.4483051949,0.0000000000
17,0.5248928907,-1.4989256781,1.0908915010,0.7989937056,0.0000000000,0.0472450152,1.3141612370,0.0000000000,-4.1386691273,-2.1438483991,0.0000000000
18,0.6886563560,-1.1591325289,1.3503586039,4.4179854470,0.0000000000,-1.7581491661,-0.4862938143,0.0000000000,-1.8005703222,1.0448593643,0.0000000000
19,0.4257133429,-1.4353130706,1.6314246079,3.8181207930,0.0000000000,-0.2516703031,-1.1389050905,0.0000000000,-1.5048534910,1.8954988244,0.0000000000
20,0.3421906379,-1.7571539039,2.2555177191,2.3246527253,0.0000000000,1.0940019575,0.0618143219,0.0000000000,-1.1011017605,-0.2468819946,0.0000000000
21,0.4669903227,-1.4447555888,1.2350821825,2.9158763339,0.0000000000,-1.2048609339,-1.3583033691,0.0000000000,-3.7384524725,-2.7018055121,0.0000000000
22,0.4536229980,-1.5802050858,-1.0709114661,-0.3522889906,0.0000000000,-1.4415672456,-1.2203476986,0.0000000000,-3.1341572813,-2.2011549088,0.0000000000
23,0.5291287054,-1.8903058399,-0.1645365229,-1.5561711160,0.0000000000,-2.1151990324,-2.8227348230,0.0000000000,-1.3631321129,-0.7826448089,0.0000000000
24,0.8099028424,-1.7656740072,2.0794864718,4.8041311921,0.0000000000,1.2866227074,2.3599447546,0.0000000000,-2.6621360546,-1.2636551910,0.0000000000
25,0.4956729084,-1.9647610930,1.1503365562,0.6405951328,0.0000000000,-1.6426992099,-0.4454571133,0.0000000000,-2.1098127834,0.1348903017,0.0000000000
26,0.6245458474,-0.8982870143,3.4676937296,4.9181551832,0.0000000000,-1.0335932885,-1.3727139630,0.0000000000,-3.6155456165,-2.8784392478,0.0000000000
27,0.3268087004,-1.3691224789,0.3426432104,2.6994273484,0.0000000000,1.0367748411,2.4370821746,0.0000000000,-2.1878448034,-0.3718801552,0.0000000000
28,0.5402288032,-0.9223414338,-0.5365043877,0.0283923508,0.0000000000,-0.2989521899,0.4473290332,0.0000000000,-4.4762567546,-3.8781628991,0.0000000000
29,0.4784862595,-1.3166373495,1.1926579812,3.4363356174,0.0000000000,-2.9187755341,-3.9129012659,0.0000000000,-2.1351139485,-0.0208673900,0.0000000000
30,0.5081080229,-0.8928349264,0.1811160185,2.2196456242,0.0000000000,-1.9629512960,0.7040872956,0.0000000000,-2.9683024169,-2.8006613955,0.0000000000
31,0.4166083919,-1.4465954435,0.3368552070,1.9511662205,0.0000000000,-1.3989647722,0.7927124591,0.0000000000,-2.9130623676,-2.3944587323,0.0000000000
32,0.3959426600,-1.2162043599,0.5245222641,1.6869279027,0.0000000000,-2.7290145913,-2.6074540776,0.0000000000,-2.5454701720,-1.0818724107,0.0000000000
33,0.5042275103,-1.6444663915,1.2818851902,2.8109477090,0.0000000000,-2.6122339749,-2.2919778688,0.0000000000,0.0979498503,2.4336400126,0.0000000000
34,0.4289013221,-0.5503105291,1.6611483278,4.3321684951,0.0000000000,-1.3267131912,-1.6619141761,0.0000000000,-2.1646914312,-0.9549410788,0.0000000000
35,0.5445803661,-1.7449011137,2.9397954090,3.3682855992,0.0000000000,-1.0150278160,0.0385931721,0.0000000000,-1.1625642025,1.3678310370,0.0000000000
36,0.7338418829,-0.5957112143,1.0234009803,4.0753663235,0.0000000000,0.5178297888,-0.2951131712,0.0000000000,-3.6982494933,-3.1670757794,0.0000000000
37,0.7133318821,-1.3401254135,1.4777423222,4.5741314063,0.0000000000,-1.0025611916,-2.0162519860,0.0000000000,-3.3268065313,-2.2571138711,0.0000000000
38,0.7373121069,-1.4602628701,1.5480728815,3.0111524023,0.0000000000,-0.5930326027,-2.4673256957,0.0000000000,-4.0452079245,-3.3336887623,0.0000000000
39,0.2857274282,-0.6664713561,1.6606294164,2.0829056255,0.0000000000,0.0095567889,0.0104270156,0.0000000000,-2.8809535221,-0.6751937373,0.0000000000
40,0.5364847074,-1.2238227811,2.3683186872,4.9915489152,0.0000000000,-0.4066052643,-1.4076324420,0.0000000000,-2.3053482048,-1.5563871040,0.0000000000
41,0.4869628133,-2.0408135782,1.7591432235,1.0017215937,0.0000000000,-1.0723582152,-1.9922259702,0.0000000000,-1.3324844731,0.4381578445,0.0000000000
42,0.6543653210,-2.2232592056,0.7508388284,1.8856156006,0.0000000000,-1.1055099837,-1.5354129462,0.0000000000,-3.3527113530,-2.7861316151,0.0000000000
43,0.4513745449,-1.0701363945,1.0071899711,3.9554780841,0.0000000000,-1.1500441286,-3.1721585051,0.0000000000,-1.6524603368,0.6845567172,0.0000000000
44,0.3516263136,-1.6417150818,-1.0083757661,-0.1587945251,0.0000000000,0.1050820171,0.8945484674,0.0000000000,-2.3459668421,-1.1853172802,0.0000000000
45,0.7795354359,-2.0792050779,0.9054695267,1.9186169319,0.0000000000,-1.4913102331,-1.3100871304,0.0000000000,-4.1481984724,-3.5787235815,0.0000000000
46,0.7038014726,-2.0004937864,1.6560444104,3.4975336474,0.0000000000,-2.2180502250,-2.9507433814,0.0000000000,-1.8175473500,1.1524033858,0.0000000000
47,0.6122840971,-1.5163894766,2.4153651929,2.8554624501,0.0000000000,-1.6752262360,-2.2222437557,0.0000000000,-3.6996814344,-2.3682121280,0.0000000000
48,0.4032334064,-0.9195908728,-0.2572124179,1.6576084432,0.0000000000,-0.1890161596,-2.5018799034,0.0000000000,-2.0280508111,0.2227559202,0.0000000000
49,0.5897159998,-1.6365144846,2.4248207575,5.3368365388,0.0000000000,0.4095148621,-0.2436291786,0.0000000000,-2.4177848569,-0.1900524179,0.0000000000
50,0.6310236930,-0.3784109816,-0.5773319162,-1.4742046385,0.0000000000,-2.5623350638,-3.9353396798,0.0000000000,-2.5000219478,-2.0717311841,0.0000000000
51,0.6346142126,-1.3440609820,0.1632227361,-0.6644167431,0.0000000000,-2.8126173355,-3.2059819767,0.0000000000,-3.5436731397,-3.4519403032,0.0000000000
52,0.5783846220,-2.4592185663,-0.0002882105,1.0721491533,0.0000000000,-0.5650719975,0.5225192075,0.0000000000,-1.8100751861,0.3969984981,0.0000000000
53,0.7039536754,-1.1494986006,0.8149863380,2.9029622887,0.0000000000,-3.4777480328,-4.5971052904,0.0000000000,-0.9294795883,0.9078623073,0.0000000000
54,0.5148745512,-1.4735382511,1.0799231186,1.5562769926,0.0000000000,-1.6293371758,-2.2740096724,0.0000000000,-1.6556992685,1.7477895706,0.0000000000
55,0.7365062064,-1.5924821542,2.7421654326,3.4893149156,0.0000000000,-0.8017165802,-0.9897813645,0.0000000000,-3.5063314743,-3.4165554991,0.0000000000
56,0.6422381345,-2.5839315737,1.1721430785,1.4872867839,0.0000000000,-0.6273418106,-0.6961285380,0.0000000000,-2.8163851292,-0.8045901764,0.0000000000
57,0.6093172846,-1.6772044697,2.9839335183,3.2635650281,0.0000000000,0.4364528739,0.8290080681,0.0000000000,-3.2609160131,-2.5647439301,0.0000000000
58,0.5458687440,-1.6497878109,2.6078649088,4.6036033982,0.0000000000,-0.7600130446,-0.8490969514,0.0000000000,-1.1892330025,0.9390003797,0.0000000000
59,0.6595904453,-1.3607649999,0.2091922447,1.8366323106,0.0000000000,-0.0205616109,2.3225133174,0.0000000000,-4.1120761337,-3.1649249464,0.0000000000
60,0.6099997208,-0.3769827181,2.2158556762,4.8845216594,0.0000000000,-1.6339740432,-2.3364907528,0.0000000000,-3.0398040882,-1.8860320531,0.0000000000
61,0.6827486332,-1.7473352047,1.2128198909,1.6137771992,0.0000000000,-3.0052994096,-3.4540968971,0.0000000000,-3.0450381021,-1.6385020129,0.0000000000
62,0.4159288076,-1.7380179866,0.5973874071,0.9780579023,0.0000000000,-0.2872327842,1.2235465837,0.0000000000,-3.2031874009,-2.0197759043,0.0000000000
63,0.3803699637,-1.5324008222,2.6704830281,2.6826120920,0.0000000000,0.2719957997,0.8280928508,0.0000000000,-2.5871466278,-0.9575929671,0.0000000000
64,0.4178207664,-2.2565169329,1.5022518544,1.9534527497,0.0000000000,-1.3318886198,-1.5441321870,0.0000000000,-1.6970666092,-1.0800938144,0.0000000000
65,0.3933671917,-1.7678050366,0.5515202991,0.7253165114,0.0000000000,-0.0433737846,-1.9062505381,0.0000000000,-2.5826709050,-0.6150213336,0.0000000000
66,0.5513516861,-0.5958494816,2.3163871895,5.7306483586,0.0000000000,-1.3589116131,-1.3551755589,0.0000000000,-3.1851050437,-1.4131020942,0.0000000000
67,0.4098259840,-1.6094618757,0.9950773552,1.6127541815,0.0000000000,-1.2427134232,-0.9028353709,0.0000000000,-1.4629100687,1.7945696545,0.0000000000
68,0.5878855845,-0.3720247139,2.3415738106,3.6258245178,0.0000000000,-0.6051994790,2.0181491927,0.0000000000,-3.3374784608,-2.7862143126,0.0000000000
69,0.3448884626,-1.2996661489,1.3165347124,3.4326106236,0.0000000000,-0.7040299502,-0.8323119163,0.0000000000,0.1116619264,1.8168885804,0.0000000000
70,0.4524619635,-1.4995085210,0.3102168266,0.3354065869,0.0000000000,-2.3370759861,-2.4028251565,0.0000000000,-3.0557511080,-0.1990610950,0.0000000000
71,0.6027657335,-0.8229894977,2.8714062161,3.9750695220,0.0000000000,-0.5721530731,0.2985999710,0.0000000000,-4.0803625898,-4.0049023493,0.0000000000
72,0.3857808014,-1.4598307364,-0.2778855456,0.4518817564,0.0000000000,-1.3762432423,0.1374544114,0.0000000000,-3.1457616558,-2.2797627053,0.0000000000
73,0.4625693158,-1.7845631191,-0.7358411775,0.3667650169,0.0000000000,-1.4832177479,-1.6670117579,0.0000000000,-3.4716345448,-2.1506978157,0.0000000000
