"Respondent","price","brand2","brand3","ff2","ff3","feat2","feat3","LV_disturbance"
1,-0.3039746823,1.539985807,-2.388995309,-0.402464789,0.6914071493,0.6770504274,1.596535899,0.413840711
2,0.5440202612,0.5654889196,-0.5714561629,0.03407702445,0.1718157336,0.5476014953,2.104366785,-0.4209412371
3,0.3256839482,1.221295656,0.02843285054,1.317511032,-4.54073298e-05,0.103323636,1.247149462,0.08643299958
4,-0.421488916,0.1573273544,-0.248813637,0.840754958,0.7075174289,2.342140032,0.2694782169,-0.04416067724
5,-0.3870077398,0.176639232,-0.1369662448,1.910605444,0.3893744054,1.260886686,1.226965606,-0.05882130283
6,0.1651527874,0.8440555562,-1.02614671,-0.4235254941,1.627132831,0.3600122745,0.8527262729,-0.1989467642
7,-0.1952114437,1.242518596,-1.369346101,-0.08073753031,1.130773277,0.379612051,2.672974802,0.1062989101
8,-0.04956259512,1.464924246,-0.3191990297,-0.3974481508,0.1666327081,-0.050688129,3.093235264,-0.0231079348
9,0.1962017528,0.5204365448,-0.4665852684,-0.9615589919,0.8444443898,1.560710505,2.088755938,0.2595248405
10,-0.02742918349,1.622665001,0.3224423862,0.4677078567,0.8315477801,1.308803861,2.355470594,-0.0402808252
11,0.2130135658,0.6437526339,-1.489388166,-0.5379326707,1.34661957,1.742384426,1.008511258,0.02187618167
12,-0.49286686,1.005627562,-0.5185442206,0.6852713687,1.680067664,0.3619917851,2.358912706,0.4769935742
13,0.06765490184,1.624373786,-0.339703882,0.2099277834,0.4462017315,-0.749107578,1.324021666,-1.085234054
14,-0.7546960967,1.542206626,-1.338574697,-0.8682389031,0.5925309568,1.588842383,1.888198902,-0.4525026208
15,-0.07210157943,0.3258684332,-0.6945522969,-0.4043691641,1.591551043,1.555068362,1.979196403,0.2405045509
16,0.3170157565,0.2684657101,-0.5121337303,-0.9336019715,0.9088408878,0.5180340466,2.255583694,-0.332108908
17,0.07683174456,-0.2777847296,-0.5636064901,0.899578036,0.04827895593,1.4537972,2.625814541,0.6586527432
18,-0.2285157548,1.977827078,-1.027888077,0.7627976966,1.161674226,1.787478726,1.172863346,-0.04572295493
19,-0.1036750244,1.418729408,-1.065642485,-0.3529338208,0.3469511897,1.964279911,0.9735003524,-0.1770450076
20,-0.05772314914,0.1685101051,-1.547153962,-0.5620282661,-0.5273806477,0.8027009956,0.5554099937,-0.803967892
21,-0.2463536681,0.876247321,-0.8074406007,-0.09545800944,0.932049978,0.4841127329,2.665949508,0.7313860769
22,-0.06205438832,0.5274705021,0.3829942815,0.2317067784,0.7175182892,0.5636382938,2.389680027,-0.3818664911
23,0.1585671292,-0.8928006019,0.06258484672,-0.6783520663,1.334475097,0.6171294594,1.131490357,-0.4021008601
