"iteration","lambda","gamma1","gamma2","sigma1","sigma2","zeta1","zeta2","tau"
1,0.3403557129,-0.2367332047,0.404978294,0.9818419446,0.999368557,-0.6423489316,-0.08858172663,-0.2804515344
2,0.3403557129,-0.2367332047,0.404978294,0.9818419446,0.999368557,-0.6423489316,-0.08858172663,-0.2804515344
3,0.3403557129,-0.2367332047,0.404978294,0.9818419446,0.999368557,-0.6423489316,-0.08858172663,-0.2804515344
4,0.3403557129,-0.2367332047,0.404978294,0.9818419446,0.999368557,-0.6423489316,-0.08858172663,-0.2804515344
5,0.3403557129,-0.2367332047,0.404978294,0.9818419446,0.999368557,-0.6423489316,-0.08858172663,-0.2804515344
6,0.3403557129,-0.2367332047,0.404978294,0.9818419446,0.999368557,-0.6423489316,-0.08858172663,-0.2804515344
7,0.3378077062,-0.2188065726,0.4091089223,0.9641846095,1.006231853,-0.6517641061,-0.08892403491,-0.2875310868
8,0.3378077062,-0.2188065726,0.4091089223,0.9641846095,1.006231853,-0.6517641061,-0.08892403491,-0.2875310868
9,0.3392777914,-0.2168492866,0.4246573104,0.9501257904,1.012716285,-0.6426980755,-0.07661798492,-0.2859577981
10,0.3392777914,-0.2168492866,0.4246573104,0.9501257904,1.012716285,-0.6426980755,-0.07661798492,-0.2859577981
11,0.3392777914,-0.2168492866,0.4246573104,0.9501257904,1.012716285,-0.6426980755,-0.07661798492,-0.2859577981
12,0.3392777914,-0.2168492866,0.4246573104,0.9501257904,1.012716285,-0.6426980755,-0.07661798492,-0.2859577981
13,0.3392777914,-0.2168492866,0.4246573104,0.9501257904,1.012716285,-0.6426980755,-0.07661798492,-0.2859577981
14,0.3392777914,-0.2168492866,0.4246573104,0.9501257904,1.012716285,-0.6426980755,-0.07661798492,-0.2859577981
15,0.3355845524,-0.2313037537,0.4075414837,0.9660716986,1.017281391,-0.6299330704,-0.08889133027,-0.2847557595
16,0.3355845524,-0.2313037537,0.4075414837,0.9660716986,1.017281391,-0.6299330704,-0.08889133027,-0.2847557595
17,0.3355845524,-0.2313037537,0.4075414837,0.9660716986,1.017281391,-0.6299330704,-0.08889133027,-0.2847557595
18,0.3355845524,-0.2313037537,0.4075414837,0.9660716986,1.017281391,-0.6299330704,-0.08889133027,-0.2847557595
19,0.3501421837,-0.2311190068,0.4042864181,0.9454782327,1.00244135,-0.6418035674,-0.08420519481,-0.3062654299
20,0.3587016388,-0.2267269088,0.402056925,0.94327344,0.9974241768,-0.6443748937,-0.1099191943,-0.3091415436
21,0.3587016388,-0.2267269088,0.402056925,0.94327344,0.9974241768,-0.6443748937,-0.1099191943,-0.3091415436
22,0.3587016388,-0.2267269088,0.402056925,0.94327344,0.9974241768,-0.6443748937,-0.1099191943,-0.3091415436
23,0.3587016388,-0.2267269088,0.402056925,0.94327344,0.9974241768,-0.6443748937,-0.1099191943,-0.3091415436
24,0.3506474224,-0.2222691619,0.406712802,0.9595649731,0.9994286784,-0.6450540805,-0.1159139494,-0.294857726
25,0.3374545289,-0.2269205986,0.4098837609,0.9399462744,1.002911954,-0.6508816204,-0.1223210222,-0.2725844869
26,0.3374545289,-0.2269205986,0.4098837609,0.9399462744,1.002911954,-0.6508816204,-0.1223210222,-0.2725844869
27,0.3374545289,-0.2269205986,0.4098837609,0.9399462744,1.002911954,-0.6508816204,-0.1223210222,-0.2725844869
28,0.3374545289,-0.2269205986,0.4098837609,0.9399462744,1.002911954,-0.6508816204,-0.1223210222,-0.2725844869
29,0.3374545289,-0.2269205986,0.4098837609,0.9399462744,1.002911954,-0.6508816204,-0.1223210222,-0.2725844869
30,0.3374545289,-0.2269205986,0.4098837609,0.9399462744,1.002911954,-0.6508816204,-0.1223210222,-0.2725844869
31,0.3407159973,-0.2039285356,0.4058748698,0.9453802104,1.003338325,-0.6196712695,-0.1320295023,-0.2749561576
32,0.3407159973,-0.2039285356,0.4058748698,0.9453802104,1.003338325,-0.6196712695,-0.1320295023,-0.2749561576
33,0.3407159973,-0.2039285356,0.4058748698,0.9453802104,1.003338325,-0.6196712695,-0.1320295023,-0.2749561576
34,0.3407159973,-0.2039285356,0.4058748698,0.9453802104,1.003338325,-0.6196712695,-0.1320295023,-0.2749561576
35,0.3457307617,-0.1992353569,0.3887907992,0.943723533,1.012598656,-0.6275760452,-0.1178504111,-0.2702340097
36,0.3458338935,-0.2042674235,0.3897723482,0.9338427556,1.013450581,-0.6015728539,-0.1000249243,-0.2635872152
37,0.3458338935,-0.2042674235,0.3897723482,0.9338427556,1.013450581,-0.6015728539,-0.1000249243,-0.2635872152
38,0.3458338935,-0.2042674235,0.3897723482,0.9338427556,1.013450581,-0.6015728539,-0.1000249243,-0.2635872152
