"iteration","price","ff2","ff3","feat2","feat3"
1,-1.302221213,0.1349278912,0.7486930046,1.246954486,1.942939483
2,-1.303274121,0.1054217046,0.7718190012,1.260132993,1.861278424
3,-1.264755839,0.120164906,0.7755881032,1.299588873,1.9037577
4,-1.311301282,0.0778854085,0.7410509063,1.240486676,1.906110386
5,-1.312617284,0.1304127896,0.8845179328,1.284973049,1.936231727
6,-1.318309343,0.1438620246,0.7392435196,1.259953333,1.79256624
7,-1.300775044,0.03277720108,0.7797205766,1.278388972,1.883591913
8,-1.311411778,0.168032503,0.7479744973,1.288986825,1.811480325
9,-1.333831999,0.1178845967,0.7460999839,1.270304067,1.799825333
10,-1.290759818,0.1850597597,0.6801055823,1.262448473,1.83794026
11,-1.324065495,0.08508153337,0.7500499407,1.178886908,1.846727424
12,-1.305714793,0.2489154005,0.7336619699,1.227114264,1.821213964
13,-1.282217624,0.130772933,0.7920136079,1.191744386,1.90684505
14,-1.330847484,0.2137566023,0.746678928,1.336716997,1.812915816
15,-1.305253822,0.1843487958,0.6967552843,1.276726496,1.788140535
16,-1.290589681,0.1340730618,0.8318964629,1.270180342,1.763425871
17,-1.321857381,0.184977492,0.751361996,1.350168873,1.923478003
18,-1.279016016,0.2406569685,0.7236770878,1.232662255,1.943994674
19,-1.277677222,0.1300159026,0.7035181037,1.237344451,1.821568238
20,-1.262967864,0.1442509158,0.7355430504,1.225201901,1.793302251
21,-1.268600522,0.148465673,0.747800382,1.243695971,1.9299096
22,-1.280338929,0.1210671154,0.6915739713,1.183948605,1.853571624
23,-1.26181775,0.1008591394,0.7719890233,1.230885738,1.847398376
24,-1.298377661,0.1464736883,0.7880325752,1.182246849,1.848928438
25,-1.305948744,0.1094106865,0.6379441109,1.24939668,1.823819924
26,-1.304272786,0.1179341541,0.7159076674,1.279489202,1.893732921
27,-1.283510829,0.1888747995,0.7989959656,1.300466754,1.830895722
28,-1.287162727,0.1370071149,0.7210842068,1.303660195,1.895161761
29,-1.299484671,0.2084464793,0.6597203457,1.226804948,1.821841448
30,-1.305671128,0.1740229413,0.6925327598,1.251783703,1.82611117
31,-1.318761088,0.2091917459,0.7461597621,1.261726963,1.928138852
32,-1.326409596,0.1494655161,0.6873831936,1.182050142,1.941408852
33,-1.288181787,0.1119437015,0.6823055863,1.203402938,1.901194645
34,-1.307888176,0.09303206563,0.7085295776,1.235533661,1.887181105
35,-1.328440137,0.08439184128,0.7304695085,1.230112418,1.93484988
36,-1.309825442,0.1439379928,0.6581809204,1.26065241,1.873704273
37,-1.332176491,0.1521490089,0.693219128,1.211291421,1.825801582
38,-1.296131121,0.1268422759,0.705832207,1.142966866,1.878854955
39,-1.32146586,0.1094730663,0.700571417,1.21858243,1.843129699
40,-1.327110807,0.1946424383,0.6465995147,1.132913731,1.916138297
41,-1.333584224,0.1284856749,0.7338126489,1.258696011,1.908986255
42,-1.286935463,0.1560794378,0.6674999875,1.232531029,1.868470245
43,-1.275177939,0.1422166462,0.6555662736,1.21241703,1.9541615
44,-1.283779106,0.1428227848,0.7472491818,1.260467722,1.883345306
45,-1.278634939,0.100351515,0.5877795231,1.267450026,1.89041444
46,-1.265736599,0.234356929,0.7040044746,1.215859637,1.860803907
47,-1.2934677,0.2473034523,0.6863844632,1.249472702,1.85434496
48,-1.286040077,0.1374652625,0.5973306179,1.256620055,1.853465581
49,-1.336996004,0.09346394741,0.6326856482,1.267519266,1.91582492
50,-1.296667611,0.1689988607,0.6749514537,1.228217114,1.793932432
51,-1.3053525,0.2430335847,0.705849887,1.141466966,1.824565427
52,-1.27403791,0.2159567627,0.6645701775,1.182194971,1.843307861
53,-1.292638359,0.1795144077,0.6754424931,1.150640923,1.829995851
54,-1.280571115,0.1917973544,0.7242468773,1.206646813,1.874544742
55,-1.293441764,0.1333384179,0.6251575923,1.182585738,1.808958985
56,-1.28325435,0.09794497131,0.6123984429,1.199946605,1.881021943
57,-1.29171554,0.08040599058,0.6182444364,1.214605282,1.939336558
58,-1.283126448,0.1805283178,0.5748323475,1.284108992,1.871893358
59,-1.263404835,0.06972162198,0.7212661799,1.150388917,1.856368142
60,-1.270751585,0.180946005,0.6498719179,1.194971018,1.885358379
61,-1.248814984,0.2180539859,0.6022947578,1.22400259,1.888407172
62,-1.271114084,0.1699848093,0.5990852677,1.220920255,1.908618441
63,-1.265633522,0.1260678145,0.687444137,1.236726205,1.822224764
64,-1.226275218,0.1522367547,0.7385303475,1.234214841,1.773717004
65,-1.274676333,0.1090996671,0.6601172445,1.20227872,1.786825024
66,-1.301974398,0.2058589436,0.6465889671,1.195405923,1.78828431
67,-1.284801123,0.1714589821,0.6591922361,1.138873809,1.847190266
68,-1.262396864,0.1705783205,0.5919440917,1.143698669,1.853609761
69,-1.259877921,0.1421695962,0.668906647,1.232966545,1.898767228
70,-1.273182271,0.1720072835,0.6574058755,1.251787348,1.768967486
71,-1.26340449,0.2086678712,0.6586980654,1.168600939,1.876715444
72,-1.272560243,0.1033505972,0.6600704864,1.224796418,1.89581091
73,-1.257792304,0.1177074515,0.7014609975,1.228072048,1.855450215
74,-1.231962084,0.1185939085,0.6531737656,1.286630181,1.849429406
75,-1.252414946,0.1268021334,0.6070995073,1.217651603,1.884898296
76,-1.281700845,0.1646097328,0.6612519463,1.164255685,1.889304688
