Model Name:	MNL	
Number of individuals:	1138	
Number of observations:	10242	
Number of preliminary iterations:	30000	
Number of draws used per individual:	20000	
Random Seed:	132445	
Total iterations:	50000	
Number of parameters:	3	
Fixed parameters estimated: 
ASC1 
BTime 
BCost 
Estimated:	Wed Feb 13 8:28:11 AM 2013	
----------------------------------------------------------- 

Iteration Log-Likelihood RLH 	
0	-7099.213	0.5
250	-6414.357	0.5367155
500	-6308.376	0.5435382
750	-6274.628	0.5460503
1000	-6262.676	0.5471567
1250	-6263.668	0.5471056
1500	-6263.27	0.5473088
1750	-6264.15	0.5470204
2000	-6264.166	0.5468688
2250	-6264.423	0.5471262
2500	-6263.72	0.5471635
2750	-6262.991	0.5473521
3000	-6265.202	0.5468551
3250	-6267.032	0.5472524
3500	-6265.729	0.5466885
3750	-6265.023	0.5467277
4000	-6263.39	0.546936
4250	-6265.013	0.5467043
4500	-6263.198	0.5472477
4750	-6263.016	0.5470653
5000	-6264.134	0.5470779
5250	-6263.587	0.5469678
5500	-6263.81	0.5469476
5750	-6263.835	0.5469472
6000	-6265.444	0.5469476
6250	-6264.795	0.5471781
6500	-6264.426	0.5472936
6750	-6264.412	0.5474689
7000	-6264.823	0.5469633
7250	-6265.794	0.547547
7500	-6265.64	0.5474188
7750	-6266.053	0.5467229
8000	-6265.872	0.546528
8250	-6264.626	0.5472439
8500	-6263.495	0.5469322
8750	-6264.135	0.5471321
9000	-6262.949	0.5470292
9250	-6262.779	0.5472038
9500	-6264.327	0.5471249
9750	-6263.552	0.5470062
10000	-6263.024	0.5469907
10250	-6264.421	0.5468177
10500	-6265.09	0.5470579
10750	-6263.986	0.5472793
11000	-6263.716	0.5472264
11250	-6264.451	0.546998
11500	-6263.979	0.5468763
11750	-6266.642	0.5476116
12000	-6263.36	0.5473727
12250	-6265.16	0.5473291
12500	-6262.794	0.5471693
12750	-6262.919	0.5470991
13000	-6263.921	0.5467967
13250	-6263.992	0.5473018
13500	-6263.568	0.5471667
13750	-6264.245	0.5473856
14000	-6264.144	0.5469392
14250	-6263.422	0.5470626
14500	-6263.947	0.5473017
14750	-6263.03	0.5471755
15000	-6263.155	0.547243
15250	-6263.123	0.5473802
15500	-6264.43	0.5470519
15750	-6264.337	0.5473315
16000	-6263.505	0.5473129
16250	-6262.818	0.5472269
16500	-6263.224	0.5471486
16750	-6269.318	0.5471475
17000	-6264.389	0.5467425
17250	-6265.632	0.5469059
17500	-6263.658	0.5468585
17750	-6263.519	0.5468789
18000	-6267.373	0.5463744
18250	-6263.697	0.546847
18500	-6263.613	0.5474231
18750	-6263.609	0.5470977
19000	-6263.093	0.5472595
19250	-6263.366	0.5468879
19500	-6263.966	0.5470925
19750	-6263.225	0.5471254
20000	-6263.943	0.5472371
20250	-6266.367	0.547277
20500	-6264.507	0.546885
20750	-6264.681	0.546825
21000	-6263.154	0.5473672
21250	-6263.448	0.5469322
21500	-6263.432	0.5468781
21750	-6263.844	0.5468192
22000	-6263.892	0.5468334
22250	-6263.108	0.5472931
22500	-6264.343	0.546939
22750	-6263.533	0.5471325
23000	-6264.356	0.5472945
23250	-6263.451	0.5469868
23500	-6265.609	0.5469583
23750	-6263.038	0.5470099
24000	-6263.717	0.5474077
24250	-6262.852	0.5472989
24500	-6263.897	0.5470267
24750	-6265.735	0.5472277
25000	-6264.542	0.5468104
25250	-6263.352	0.5473785
25500	-6263.671	0.5470655
25750	-6264.443	0.5473008
26000	-6263.078	0.5471642
26250	-6263.457	0.5474037
26500	-6265.685	0.5466093
26750	-6264.503	0.5472631
27000	-6263.921	0.5468054
27250	-6264.146	0.5471653
27500	-6264.043	0.5472721
27750	-6264.201	0.5467534
28000	-6262.946	0.5473329
28250	-6265.802	0.546709
28500	-6264.32	0.5473802
28750	-6263.654	0.5473824
29000	-6264.766	0.546982
29250	-6263.128	0.5472707
29500	-6265.135	0.5473773
29750	-6262.877	0.5471437
30000	-6265.402	0.5471737
30250	-6264.526	0.5474396
30500	-6266.544	0.5474957
30750	-6263.508	0.5470773
31000	-6264.164	0.5468195
31250	-6264.586	0.5470178
31500	-6263.828	0.547371
31750	-6263.217	0.5473613
32000	-6263.341	0.5472247
32250	-6264.963	0.5475531
32500	-6265.707	0.5472342
32750	-6264.364	0.5475045
33000	-6265.143	0.5469595
33250	-6262.949	0.5470339
33500	-6264.729	0.5467401
33750	-6263.209	0.5469656
34000	-6265.455	0.5474044
34250	-6262.911	0.5471216
34500	-6264.475	0.5468015
34750	-6263.562	0.5472505
35000	-6264.595	0.5468664
35250	-6263.561	0.5472594
35500	-6263.289	0.5470535
35750	-6263.395	0.546897
36000	-6265.389	0.5474261
36250	-6266.275	0.5475037
36500	-6264.673	0.5471712
36750	-6263.865	0.5472184
37000	-6264.752	0.547419
37250	-6264.297	0.5470935
37500	-6263.068	0.5470739
37750	-6263.36	0.5471581
38000	-6263.947	0.547399
38250	-6262.758	0.5471292
38500	-6262.79	0.5471026
38750	-6263.399	0.5470865
39000	-6263.314	0.5469188
39250	-6266.074	0.5468988
39500	-6264.053	0.5469003
39750	-6263.628	0.5471988
40000	-6265.234	0.5471103
40250	-6263.689	0.5471489
40500	-6263.056	0.5473415
40750	-6264.463	0.5469875
41000	-6262.823	0.5471637
41250	-6264.257	0.5472516
41500	-6265.762	0.546565
41750	-6263.079	0.5471706
42000	-6264.419	0.5471825
42250	-6262.872	0.5472161
42500	-6263.587	0.5473842
42750	-6263.203	0.5471683
43000	-6263.567	0.5473804
43250	-6263.737	0.5472313
43500	-6264.313	0.5470504
43750	-6263.001	0.5471
44000	-6263.53	0.5470051
44250	-6263.356	0.5473283
44500	-6263.198	0.5473117
44750	-6263.571	0.5473156
45000	-6263.13	0.5472515
45250	-6263.844	0.5473471
45500	-6262.743	0.5472712
45750	-6265.244	0.5467369
46000	-6265.357	0.5469801
46250	-6263.354	0.5469303
46500	-6264.186	0.5469974
46750	-6264.917	0.5467822
47000	-6263.923	0.5468612
47250	-6262.842	0.5472371
47500	-6263.452	0.5470322
47750	-6263.577	0.5471108
48000	-6264.588	0.5472291
48250	-6263.606	0.5474334
48500	-6263.086	0.5473069
48750	-6265.082	0.5470083
49000	-6264.025	0.5467865
49250	-6263.726	0.5472483
49500	-6263.117	0.5473769
49750	-6265.225	0.5465979
50000	-6265.548	0.5467262
