"iteration","Bx","By"
1,0.4585102438,-0.4872858632
2,0.4961724106,-0.4883133374
3,0.4633608907,-0.4941971139
4,0.4761096349,-0.4988303482
5,0.4808491542,-0.5163285422
6,0.4731362813,-0.5089310445
7,0.4764514865,-0.4997224909
8,0.4516640868,-0.5132361492
9,0.454554982,-0.5124775082
10,0.4780424165,-0.5352733571
11,0.4712832049,-0.5076972296
12,0.4693341776,-0.5139743022
13,0.4649773502,-0.5119758909
14,0.4826047604,-0.5145664449
15,0.4793515531,-0.5113062364
16,0.4514438436,-0.5233344849
17,0.4463881889,-0.5269898181
18,0.450461809,-0.5170556132
19,0.4366646455,-0.5133347471
20,0.4430139266,-0.5412081933
21,0.4449500699,-0.5007721886
22,0.4355460185,-0.4997570066
23,0.4180823348,-0.5052954949
24,0.4521192631,-0.5124766593
25,0.4244605004,-0.5145168854
26,0.4605701682,-0.5055178156
27,0.4571532175,-0.5181263425
28,0.4708567346,-0.5028114468
29,0.4899963404,-0.5090877894
30,0.4907736388,-0.4959922818
31,0.4778627245,-0.5009796758
32,0.4610104588,-0.4969853872
33,0.5227343179,-0.4971153486
34,0.4666100441,-0.4838654052
35,0.4776669844,-0.4838839104
36,0.4865508648,-0.4722986581
37,0.4956591844,-0.4977007694
38,0.498338189,-0.4687545708
39,0.5129239601,-0.4892473413
40,0.5256470253,-0.5031640765
41,0.5396609665,-0.4762911363
42,0.4977817282,-0.4977379052
43,0.4924160591,-0.4844171294
44,0.4908804232,-0.4892425197
45,0.4856649461,-0.4862405
46,0.4926444066,-0.4647073369
47,0.5135495503,-0.5018646904
48,0.5122147718,-0.5307306621
49,0.5247674626,-0.5120374833
50,0.5216638117,-0.5403836124
51,0.5026458197,-0.5127506673
52,0.5318124021,-0.5234636506
53,0.4947155784,-0.5373996711
54,0.4964270275,-0.5452418224
55,0.4793321738,-0.5259095983
56,0.4955061371,-0.5478962102
57,0.4917299756,-0.5454155156
58,0.5072753125,-0.5124330951
59,0.4989456574,-0.5180742639
60,0.5144755933,-0.5169472592
61,0.4845464355,-0.5124429645
62,0.5140548399,-0.5481863707
63,0.5023520311,-0.5261177603
64,0.4961649506,-0.5318172196
65,0.5029104118,-0.533470736
66,0.4967345418,-0.5262104245
67,0.5299382738,-0.5262620702
