"iteration","brand2","brand3","brand4","brand5","price2","price3","price4","price5"
1,2.02524936,-2.508931361,-1.08980994,-4.675138736,-1.146299647,-1.928210296,-2.690468258,-3.488145145
2,2.067012246,-2.550902613,-0.9661509898,-4.881323264,-1.119964074,-1.937962855,-2.608773515,-3.453752398
3,2.043159596,-2.525450637,-1.003515596,-4.877888063,-1.125928344,-1.915192408,-2.60858603,-3.470961523
4,2.11602215,-2.53338594,-0.9756258638,-4.774979985,-1.192333301,-2.023130918,-2.686453209,-3.491716613
5,2.01923288,-2.446358234,-0.9787373651,-4.872736615,-1.127937549,-1.959228624,-2.607800428,-3.435746685
6,2.070839029,-2.500227339,-0.9574229984,-4.886741672,-1.166128917,-1.944722946,-2.622427137,-3.475846062
7,2.003971803,-2.457899916,-1.06875496,-4.87800401,-1.173369869,-1.957951772,-2.613083809,-3.417469099
8,2.055903333,-2.585222913,-1.034089998,-4.763812731,-1.097368221,-1.964318683,-2.666374238,-3.449845524
9,2.032400858,-2.502113967,-1.038078126,-4.869085638,-1.10143918,-1.924166981,-2.596092217,-3.455701207
10,1.987692384,-2.507176429,-1.131582732,-4.850200201,-1.112429353,-1.897797617,-2.590951002,-3.452354417
11,2.044060193,-2.576246746,-1.162076077,-4.846893657,-1.119114251,-1.945216864,-2.591720309,-3.447925679
12,2.064610722,-2.537060645,-1.116286463,-4.827728106,-1.14066851,-1.93905817,-2.594246675,-3.424848821
13,2.040737859,-2.526422842,-1.113285846,-4.783283028,-1.157134917,-1.931529361,-2.621415231,-3.427741795
14,1.99636311,-2.575163377,-1.223734515,-4.751662526,-1.144136008,-1.973801623,-2.672048003,-3.476287521
15,2.00612297,-2.570552147,-1.200734956,-4.750994234,-1.076948825,-1.912692298,-2.594211361,-3.397350005
16,2.005895996,-2.527744299,-1.255741506,-4.690512342,-1.141051341,-1.944034281,-2.605119301,-3.422189081
17,1.90538673,-2.465925163,-1.183713053,-4.727387485,-1.07004937,-1.935628953,-2.639611176,-3.410096535
18,2.012954965,-2.491031908,-1.102579671,-4.751337895,-1.13301263,-1.963396881,-2.61976037,-3.43369016
19,2.078911231,-2.629874774,-1.223470856,-4.678448655,-1.098596979,-1.883934038,-2.612908631,-3.427711014
20,1.974713956,-2.497042282,-1.205240997,-4.697001406,-1.10342249,-1.891773578,-2.599391902,-3.434297792
21,2.036418382,-2.607406703,-1.189741093,-4.829095374,-1.065191122,-1.828304846,-2.515570058,-3.359345708
22,2.104284875,-2.602281961,-1.247697857,-4.706154411,-1.138992604,-1.924451459,-2.619768402,-3.432650298
23,1.999370577,-2.50444039,-1.206410583,-4.755691061,-1.122424589,-1.940747771,-2.595745737,-3.400441455
24,2.084272936,-2.633310274,-1.29693307,-4.699524739,-1.09130457,-1.899624294,-2.58808741,-3.384116528
25,1.955422788,-2.494491004,-1.184018588,-4.70429866,-1.070493737,-1.934625259,-2.592570467,-3.370210478
26,1.945404099,-2.492196113,-1.270229752,-4.77622548,-1.090022599,-1.881277669,-2.55684665,-3.345972815
27,1.890328852,-2.418750764,-1.207014102,-4.776635006,-1.088457259,-1.906732016,-2.570854667,-3.379726117
28,1.887869951,-2.394977577,-1.237586866,-4.707785543,-1.136999785,-1.911467454,-2.629200139,-3.403612156
29,1.886902389,-2.414282167,-1.306132684,-4.70218831,-1.081294871,-1.928324321,-2.601199419,-3.356175337
30,1.98219003,-2.502168944,-1.315619035,-4.702740245,-1.073332757,-1.875597681,-2.594310938,-3.405382718
31,1.86650932,-2.381856216,-1.35449821,-4.786470436,-1.102666011,-1.871519071,-2.561087597,-3.35131165
32,2.00286684,-2.570509605,-1.302113434,-4.663940805,-1.105548344,-1.888432497,-2.608465607,-3.40255336
33,2.072601085,-2.624000885,-1.326964324,-4.652867229,-1.066717737,-1.878571083,-2.600425659,-3.405968239
34,1.940459391,-2.5595606,-1.262118502,-4.65280005,-1.017663095,-1.873550853,-2.578836683,-3.337383913
35,2.095000073,-2.64245148,-1.324929365,-4.670427874,-1.061856732,-1.824146336,-2.544296739,-3.362696046
36,1.932113037,-2.486894898,-1.250111874,-4.724767112,-1.043624542,-1.87269821,-2.555962744,-3.364172676
37,1.995149482,-2.578096072,-1.391976761,-4.67490066,-0.9989196758,-1.757739359,-2.485571445,-3.318124088
38,1.959239493,-2.548640879,-1.370566142,-4.723897347,-1.07517151,-1.831201855,-2.555441039,-3.388484842
39,1.946362226,-2.535534088,-1.297961,-4.801777262,-1.023953556,-1.825192427,-2.525916069,-3.385692804
40,2.005079609,-2.615337631,-1.371127055,-4.677706236,-1.056170351,-1.797112087,-2.510628027,-3.355864792
41,2.039101669,-2.613850543,-1.257064005,-4.654403784,-1.053124531,-1.846429845,-2.572828933,-3.381000018
42,1.949857783,-2.503554113,-1.347398692,-4.589086002,-1.0900952,-1.883058711,-2.583306671,-3.390698335
43,2.015094394,-2.571236983,-1.333186639,-4.641283826,-1.050960886,-1.867764642,-2.567913619,-3.359689319
44,1.86033007,-2.394208362,-1.364276449,-4.750090439,-1.113382866,-1.865044842,-2.521236287,-3.333223791
45,1.933329953,-2.466603709,-1.283913352,-4.79600815,-1.088339131,-1.826551241,-2.521298937,-3.339442616
46,2.004611581,-2.590040738,-1.360347883,-4.67468825,-1.002271618,-1.78738067,-2.504840604,-3.310933552
47,1.940473048,-2.499800703,-1.320744567,-4.624279718,-1.053724288,-1.829901786,-2.554535079,-3.297119282
48,1.933544082,-2.456055248,-1.308326935,-4.7086042,-1.065266609,-1.849154664,-2.5304988,-3.298842484
49,1.950331031,-2.506097332,-1.423441162,-4.701211583,-1.093829372,-1.865933995,-2.513523208,-3.301842668
50,2.0198158,-2.571087373,-1.247732803,-4.753608831,-1.044529937,-1.879200561,-2.573429757,-3.361458142
51,1.87432151,-2.380272485,-1.36038859,-4.777079774,-1.069070628,-1.904946711,-2.549874537,-3.303332818
52,1.853327697,-2.399100766,-1.390948662,-4.708252414,-0.9895755769,-1.829048157,-2.508434632,-3.287609973
53,1.938822015,-2.383530324,-1.407223367,-4.723648833,-1.092527871,-1.873475535,-2.527820139,-3.307345868
54,1.964400475,-2.490290515,-1.341196547,-4.734025119,-1.045160526,-1.874270759,-2.530198415,-3.316952032
55,1.879502322,-2.388839228,-1.293722801,-4.788676678,-1.035205375,-1.871099498,-2.560373576,-3.312394807
56,1.958075426,-2.444632365,-1.247416256,-4.660545963,-1.016127758,-1.868497757,-2.597059704,-3.336301656
57,1.807090738,-2.318031608,-1.231298281,-4.699112167,-1.062428533,-1.970315779,-2.635172571,-3.355326188
58,1.892969372,-2.366009039,-1.246661475,-4.686660601,-1.074634615,-1.917641061,-2.61944015,-3.35091169
59,1.956983453,-2.447869211,-1.298745175,-4.558711458,-1.034677933,-1.869377223,-2.627560682,-3.366928309
60,1.960449522,-2.398718868,-1.277501349,-4.682365804,-1.01376019,-1.891016886,-2.603447412,-3.348700442
61,1.964428106,-2.351800854,-1.251252397,-4.709138862,-1.051539344,-1.890691082,-2.586541856,-3.360956
62,2.01218649,-2.500508636,-1.139133533,-4.736400097,-0.9409668615,-1.825133007,-2.563663983,-3.330871854
63,2.028975215,-2.402582661,-1.325321903,-4.730634635,-1.067428204,-1.891309637,-2.56962894,-3.340496942
64,1.944838253,-2.406230204,-1.331722511,-4.830467619,-1.010529706,-1.828231242,-2.506802665,-3.331823189
65,1.922473952,-2.330046418,-1.262440214,-4.82684016,-1.057537196,-1.904504889,-2.575563699,-3.358359619
66,1.984781069,-2.477626207,-1.41198812,-4.802957546,-1.016711784,-1.8246637,-2.502571625,-3.312802767
67,1.941080627,-2.340337855,-1.289092069,-4.830161887,-1.020976454,-1.83411535,-2.529153809,-3.319522329
68,1.944586758,-2.418905066,-1.360404824,-4.751704075,-1.060215432,-1.906586045,-2.581546906,-3.348588007
69,2.038518061,-2.477892714,-1.346581098,-4.784967191,-1.043433007,-1.86121614,-2.553315376,-3.29984245
70,2.016422102,-2.506008293,-1.390210611,-4.849187679,-1.017009123,-1.782041443,-2.468879054,-3.276385221
71,2.004230489,-2.446923316,-1.267587693,-4.813669622,-1.061515366,-1.894659418,-2.539386705,-3.343331411
72,2.027467943,-2.395000868,-1.301388918,-4.782050657,-1.040630297,-1.901235533,-2.53470613,-3.315369215
73,2.023962269,-2.453723082,-1.3318521,-4.872779061,-1.06512937,-1.874962745,-2.516231344,-3.28107665
74,2.016255744,-2.458985327,-1.300310653,-4.871411573,-1.042933648,-1.838921037,-2.493827036,-3.305279976
75,1.925914626,-2.406481406,-1.368130444,-4.872907523,-1.057799743,-1.866057224,-2.484295003,-3.30186407
76,1.924963145,-2.433526143,-1.345244392,-4.876191545,-1.02389659,-1.859115684,-2.50438204,-3.317865036
77,2.046172643,-2.509968128,-1.257002952,-4.86050474,-1.035744722,-1.831653813,-2.523168177,-3.320022385
78,1.978506109,-2.451882947,-1.371017086,-4.833610056,-1.038139462,-1.790187322,-2.457549575,-3.268240032
79,1.942293113,-2.485453002,-1.290973121,-4.790983773,-0.9716699291,-1.803615366,-2.496766963,-3.255016434
80,1.956146677,-2.387875122,-1.255313028,-4.821318417,-1.022391489,-1.812456338,-2.541127265,-3.27299701
81,1.914443984,-2.467462181,-1.46375837,-4.889550382,-0.9806754446,-1.752756079,-2.447167358,-3.281944914
82,2.014323727,-2.465680113,-1.361638537,-4.875617443,-0.9917956726,-1.798720962,-2.492019082,-3.324507097
83,1.957760136,-2.421531425,-1.329682431,-4.89539631,-1.02236342,-1.831678075,-2.508880291,-3.307646094
84,2.115139692,-2.521511888,-1.317306011,-4.844777627,-1.027695948,-1.861973731,-2.543341551,-3.313516659
85,2.018870443,-2.417634562,-1.216479955,-4.862984373,-1.005805401,-1.831357907,-2.538158326,-3.338833156
86,2.000395891,-2.440409319,-1.3283343,-4.9406525,-1.04532425,-1.85396603,-2.514234798,-3.299955454
87,2.020120278,-2.524918867,-1.280286652,-4.900855681,-0.9711863576,-1.797808432,-2.495513295,-3.295934979
88,2.044608155,-2.388713984,-1.20854356,-4.954593155,-0.974838306,-1.828483941,-2.527846359,-3.276887992
89,1.966294235,-2.443112632,-1.345905812,-4.953526172,-0.9725733788,-1.827472554,-2.497106339,-3.277881173
90,2.017193131,-2.420730361,-1.258028251,-4.763060102,-0.9935426667,-1.84420624,-2.5824683,-3.339057861
91,1.877593539,-2.379119239,-1.247577132,-4.941932502,-1.00148885,-1.813987601,-2.484433625,-3.276555759
92,2.038061983,-2.422086646,-1.197708899,-4.901639191,-1.051229034,-1.910359691,-2.562289354,-3.329990456
93,2.011037242,-2.468028013,-1.180227398,-4.953571503,-0.9964716926,-1.845377031,-2.540790649,-3.292194919
94,2.001955011,-2.448885773,-1.305088687,-4.960958953,-0.991646693,-1.873425054,-2.525635704,-3.270416565
95,1.977043087,-2.319817514,-1.136385589,-5.001141832,-1.102954565,-1.895391003,-2.581275824,-3.301581805
96,2.08981279,-2.424951237,-1.254831938,-4.866252937,-1.061327767,-1.888680584,-2.570943133,-3.309357663
97,1.935347733,-2.36678113,-1.275092624,-4.950616562,-1.026825958,-1.887615425,-2.54844787,-3.264439067
98,1.990140721,-2.338199342,-1.174260203,-4.942537304,-1.026381608,-1.887899422,-2.583807313,-3.257513427
99,2.107099644,-2.482035142,-1.217784495,-5.008682501,-1.068964258,-1.953331322,-2.553156997,-3.271485246
100,1.959732192,-2.343065221,-1.064205273,-5.054757028,-1.009370865,-1.939693658,-2.601833535,-3.282237813
101,1.846421278,-2.229361308,-1.19991803,-4.946209027,-1.046539531,-1.872587476,-2.583874869,-3.261506797
102,1.980466391,-2.370983929,-1.245543505,-5.026071082,-1.048496842,-1.919870535,-2.55221732,-3.274143254
103,2.030174039,-2.410709866,-1.187563751,-5.024449737,-1.040026342,-1.890636678,-2.588922087,-3.288284457
104,1.951954281,-2.295881111,-1.155129355,-5.078443337,-1.01881838,-1.959754468,-2.562585573,-3.277320046
105,2.028114499,-2.394927416,-1.229960166,-4.975507893,-1.018709388,-1.888052409,-2.559778921,-3.277897796
106,1.901920924,-2.271938292,-1.145757347,-5.183609553,-1.018480603,-1.889695544,-2.5427813,-3.230878817
107,1.913688145,-2.308853326,-1.12581303,-5.047799321,-1.094688942,-1.904518004,-2.561746433,-3.306805968
108,1.956082835,-2.366803279,-1.121000036,-5.190251603,-0.9969122606,-1.865607502,-2.557238067,-3.263090005
109,1.917421973,-2.263856164,-1.097088225,-4.989204705,-1.053064946,-1.88263418,-2.579642307,-3.307081648
110,1.93428283,-2.419095597,-1.188902175,-5.131771024,-0.9577357384,-1.850803667,-2.539648303,-3.210759198
111,2.032167812,-2.416634254,-1.145845731,-5.163833233,-1.078795687,-1.851980749,-2.50964124,-3.277242492
112,1.944743641,-2.360864994,-1.107672954,-5.238559472,-1.044440219,-1.877100145,-2.482749,-3.253236722
113,2.037316467,-2.45878902,-1.153924693,-5.20798942,-1.040331351,-1.870724886,-2.516126754,-3.259603549
114,2.003834255,-2.485494015,-1.332156312,-5.071494431,-0.9788435567,-1.854095306,-2.533281521,-3.218122322
115,2.026969018,-2.394101897,-1.215392326,-5.132940634,-1.051723665,-1.869821066,-2.566880132,-3.225395069
