"Respondent","Bx","By"
1,0.4726287585,0.3507349946
2,0.8212515446,0.8742708491
3,0.2252014844,0.1264776652
4,0.329641701,0.2826719059
5,0.1823445899,0.1569972463
6,0.5207403923,0.782522776
7,0.7742268903,0.9191011196
8,0.754075013,0.6464143557
9,0.2323652544,0.7433532835
10,0.7227452634,0.8901165232
11,0.5899505111,0.5463982781
12,0.8010201978,0.9721286436
13,0.3005846975,0.5438161427
14,0.6056775067,0.390004335
15,0.4188639237,0.5628782559
16,0.2995888763,0.3259991402
17,0.4910256339,0.4451584206
18,0.9628271379,0.906269669
19,0.7545567199,0.7614972829
20,0.6134429994,0.9881297715
21,0.4757764172,0.3330714305
22,0.6935124619,1.075244631
23,0.2462334356,0.4296012599
24,0.7038590637,0.901669676
25,0.5948745794,0.4330768296
26,0.9171749448,0.6063078463
27,0.7553148289,0.5646031954
28,0.3420957682,0.4566152777
29,0.2808500459,0.2058933741
30,0.5849132136,0.6758377607
31,0.6270980621,0.9745707776
32,0.7617562364,0.8008986516
33,0.7157131354,0.8851469442
34,0.7574601345,0.7689088545
35,0.8596142455,0.8904216895
36,0.7443425352,0.9343332862
37,0.7475948829,0.8490867347
38,0.5095184435,0.4936843287
39,0.331049432,0.5042955261
40,0.6692204242,1.068906031
41,0.6394222225,0.3761636551
42,0.8616109209,0.8503938489
43,0.8164436289,0.9248643924
44,0.5623901255,0.2923604472
45,0.8960069606,0.4147517425
46,0.6847272738,0.9375224595
47,0.7450782576,0.9044782714
48,0.3594529704,0.4673362222
49,0.7664434332,0.912420833
50,0.8880895595,0.8660984648
51,0.8540005573,0.8299514095
52,0.6283728578,0.9206756797
53,0.6919518332,0.7732371234
54,0.3050124044,0.6964431295
55,0.6655641419,0.8872199919
56,0.7270797507,0.984345551
57,0.6047781381,0.6171089558
58,0.8843666125,0.7194122981
59,0.8933831696,0.9144091373
60,0.6195418398,0.9799964484
61,0.6232828676,0.894274784
62,0.1557746128,0.8019379698
63,0.3567154575,0.2043960566
64,0.8288601403,0.8781527444
65,0.6503417526,0.9497967813
66,0.5047363474,0.6152011007
67,0.2264267025,0.6228082617
68,0.7152353067,0.8119551621
69,0.6689749504,0.5340937003
70,0.3661253626,0.554957241
71,0.920560683,0.8931262764
72,0.2050598222,0.2377233222
73,0.5477929446,0.5673766975
74,0.7982804063,0.9831987628
